,index,Restaurant,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
874,5658,ID_3425,"MG Road, Pune",200,50,3.6,22,10,45
2299,1887,ID_3426,"Sector 1, Noida",100,50,3.7,133,27,65
746,4167,ID_3428,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,-,-,-,30
2942,51,ID_3429,"FTI College, Law College Road, Pune",150,50,3.2,4,4,30
2746,3190,ID_343,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.8,524,171,45
1121,1737,ID_3431,Majestic,100,50,-,-,-,30
5302,1337,ID_3431,"Sector 1, Noida",100,50,3.6,12,11,30
560,7131,ID_3431,"Sector 1, Noida",100,50,-,-,-,30
4784,4255,ID_3432,"Rmz Centennial, I Gate, Whitefield",200,50,4.2,125,69,30
8338,9318,ID_3434,"Delhi High Court, India Gate",150,50,-,-,-,30
1017,5803,ID_3434,"Rmz Centennial, I Gate, Whitefield",250,50,-,-,-,30
2492,8361,ID_3435,Delhi Cantt.,300,50,4.5,108,88,30
8437,7958,ID_3436,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.4,30,5,65
7525,3265,ID_3437,"Sector 1, Noida",150,50,NEW,-,-,30
4893,6532,ID_344,"MG Road, Pune",100,50,3.0,4,2,30
3827,4585,ID_3440,"MG Road, Pune",100,50,NEW,-,-,30
7961,9828,ID_3442,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.9,77,41,30
7084,5518,ID_3443,Delhi University-GTB Nagar,600,50,4.7,437,364,30
3359,5060,ID_3444,"FTI College, Law College Road, Pune",200,50,3.8,188,66,30
5776,7297,ID_3445,"Sandhurst Road, Mumbai CST Area",300,50,2.9,12,7,30
6250,605,ID_3446,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.7,318,187,45
5391,2941,ID_3447,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.1,24,15,30
2458,6644,ID_3448,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,-,-,-,30
7306,796,ID_345,"Babarpur, New Delhi, Delhi",50,50,NEW,-,-,30
1089,8837,ID_3451,"Sector 1, Noida",200,50,3.5,110,35,45
5722,4013,ID_3452,"Yerawada, Pune, Maharashtra",350,50,4.6,332,202,30
294,8424,ID_3452,"Nathan Road, Mangaldas Road, Pune",350,50,4.6,332,202,30
6698,8236,ID_3453,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.2,35,11,30
157,5866,ID_3454,"Delhi Administration Flats, Timarpur",250,50,4.4,243,176,30
2241,4106,ID_3454,Delhi University-GTB Nagar,250,50,4.4,243,176,30
3970,5805,ID_3455,"MG Road, Pune",150,50,3.9,152,81,45
65,1067,ID_3455,"Nathan Road, Mangaldas Road, Pune",150,50,3.9,152,81,45
5822,1956,ID_3457,"D-Block, Sector 63, Noida",250,50,3.3,14,5,30
4413,5283,ID_3458,"Tejas Nagar Colony, Wadala West, Mumbai",100,50,3.8,90,59,65
4598,1792,ID_3459,"Rmz Centennial, I Gate, Whitefield",250,50,3.7,80,60,30
2514,7288,ID_346,"Delhi High Court, India Gate",150,50,3.6,439,60,45
3798,8030,ID_3460,"Sector 14, Noida",150,50,3.5,84,32,30
6575,10374,ID_3461,Mumbai Central,200,99,3.5,94,39,45
7150,8500,ID_3461,"Sandhurst Road, Mumbai CST Area",200,99,3.5,94,39,45
6929,8380,ID_3462,"D-Block, Sector 63, Noida",150,50,3.0,9,1,30
7068,9641,ID_3464,"Babarpur, New Delhi, Delhi",100,50,3.2,6,2,45
8705,4320,ID_3465,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,99,3.8,265,115,45
4278,2003,ID_3466,"Sector 1, Noida",100,50,NEW,-,-,30
7051,9588,ID_3467,"Babarpur, New Delhi, Delhi",200,50,3.3,10,6,30
7815,95,ID_3468,"D-Block, Sector 63, Noida",100,50,3.3,13,4,30
1306,7998,ID_3469,Delhi University-GTB Nagar,200,50,NEW,-,-,30
4112,4083,ID_347,Delhi University-GTB Nagar,150,50,3.3,344,20,45
8744,2243,ID_3470,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,99,3.6,120,18,65
4970,10063,ID_3472,"Sector 14, Noida",100,50,3.5,39,17,30
4693,8156,ID_3473,"Rmz Centennial, I Gate, Whitefield",150,50,3.7,107,12,65
8095,728,ID_3474,"Sector 14, Noida",200,50,3.9,562,294,65
331,9,ID_3474,"Sector 1, Noida",200,50,3.9,562,294,65
2736,3154,ID_3475,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,3.8,94,46,30
6465,9183,ID_3478,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.4,37,12,65
5788,1033,ID_3479,Pune University,150,50,3.3,11,3,30
2343,54,ID_348,"Sector 1, Noida",250,50,3.4,49,36,30
4986,4239,ID_3480,"Delhi Administration Flats, Timarpur",200,50,3.5,25,12,30
639,3480,ID_3481,"D-Block, Sector 63, Noida",200,50,NEW,-,-,30
5061,6441,ID_3482,"Delhi Administration Flats, Timarpur",100,50,3.2,16,4,30
5618,1498,ID_3482,Delhi University-GTB Nagar,100,50,3.2,16,4,30
3997,10279,ID_3485,Delhi Cantt.,150,50,3.2,11,2,65
2269,8553,ID_3487,"D-Block, Sector 63, Noida",250,99,2.8,45,7,45
2087,2303,ID_3488,"Sector 63A,Gurgaon",150,50,NEW,-,-,30
5340,7822,ID_3489,"Sector 1, Noida",200,99,3.0,7,1,65
4206,621,ID_349,"D-Block, Sector 63, Noida",150,99,3.0,318,64,65
6504,239,ID_3491,"Sector 3, Marathalli",200,50,3.5,13,9,30
5101,441,ID_3492,Delhi University-GTB Nagar,150,50,NEW,-,-,30
2245,2498,ID_3493,"D-Block, Sector 63, Noida",150,50,3.3,11,6,30
3388,3028,ID_3494,"Sector 1, Noida",200,50,-,-,-,30
6430,792,ID_3495,"D-Block, Sector 63, Noida",100,50,4.0,394,207,45
2421,8290,ID_3496,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
3498,9050,ID_3497,"Babarpur, New Delhi, Delhi",100,50,3.4,19,2,30
662,10917,ID_3498,"Chandni Chowk, Kolkata",100,50,2.9,92,18,45
5147,10325,ID_3498,"Tiretti, Kolkata",100,50,2.9,92,18,45
5008,4326,ID_3498,"Raja Bazar, Kolkata",100,50,2.9,92,18,45
372,190,ID_3499,"Tiretti, Kolkata",100,50,3.2,12,7,30
5775,608,ID_350,"Delhi Administration Flats, Timarpur",150,50,2.9,41,15,30
2242,3005,ID_350,Delhi University-GTB Nagar,150,50,2.9,41,15,30
6589,8489,ID_3501,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.3,8,5,30
8812,1010,ID_3502,"Delhi Administration Flats, Timarpur",150,50,-,-,-,30
4457,2298,ID_3505,"D-Block, Sector 63, Noida",100,50,3.3,11,1,30
3601,8622,ID_3506,"D-Block, Sector 63, Noida",350,50,NEW,-,-,30
5037,7726,ID_3507,Delhi University-GTB Nagar,200,50,3.3,15,4,30
2032,8702,ID_3508,"Sector 14, Noida",150,50,3.9,347,146,45
1604,9562,ID_3509,"D-Block, Sector 63, Noida",200,50,3.9,998,456,65
780,4134,ID_351,"D-Block, Sector 63, Noida",200,50,4.0,1122,308,45
6708,6239,ID_3511,"Rmz Centennial, I Gate, Whitefield",150,50,3.5,30,12,30
4591,2149,ID_3513,"Sector 3, Marathalli",350,50,4.0,867,407,45
3264,2931,ID_3515,"Sector 14, Noida",200,50,NEW,-,-,30
6497,2797,ID_3516,Delhi Cantt.,100,50,2.8,14,-,30
3627,3100,ID_3517,"Sector 3, Marathalli",250,50,2.7,110,22,65
3025,5553,ID_3517,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,99,3.4,257,74,65
6785,6484,ID_3517,"Sector 3, Marathalli",250,50,3.3,38,19,30
7122,4319,ID_3518,"Rmz Centennial, I Gate, Whitefield",200,50,3.6,23,12,30
6720,4417,ID_352,Delhi University-GTB Nagar,200,50,3.7,57,23,30
1505,7514,ID_3520,Majestic,150,99,-,-,-,45
5333,5105,ID_3521,Majestic,100,50,-,-,-,30
2903,1174,ID_3522,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.9,82,26,45
1192,3928,ID_3524,"Hyderabad Public School, Begumpet",150,50,3.4,62,31,30
5518,875,ID_3525,"Moulali, Kolkata",150,50,4.0,1332,668,45
4255,3520,ID_3526,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
5742,3343,ID_3528,"D-Block, Sector 63, Noida",50,99,3.7,63,34,30
3900,5817,ID_353,"Babarpur, New Delhi, Delhi",100,50,3.3,16,5,30
487,7751,ID_3530,"Yerawada, Pune, Maharashtra",150,50,3.6,60,30,30
5828,2109,ID_3530,"Nathan Road, Mangaldas Road, Pune",150,50,3.6,60,30,30
6123,9134,ID_3530,Majestic,200,50,3.8,72,28,45
635,7483,ID_3531,"Delhi High Court, India Gate",200,50,3.7,165,49,65
5466,5054,ID_3532,"Sector 3, Marathalli",100,50,3.6,15,5,30
7480,9758,ID_3533,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",350,99,3.7,171,70,30
4145,9717,ID_3534,Majestic,100,50,-,-,-,30
2890,5327,ID_3535,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,-,-,-,30
8073,7623,ID_3537,"Rmz Centennial, I Gate, Whitefield",100,50,3.8,86,54,30
4546,7532,ID_3538,"Delhi Administration Flats, Timarpur",200,50,3.6,89,25,30
3299,6078,ID_3538,Delhi University-GTB Nagar,200,50,3.6,89,25,30
5990,113,ID_3539,"FTI College, Law College Road, Pune",100,50,2.6,28,13,30
2099,8012,ID_3539,"Nathan Road, Mangaldas Road, Pune",150,50,3.9,132,75,30
170,13,ID_354,Delhi University-GTB Nagar,50,0,3.8,184,128,45
7140,601,ID_3540,"FTI College, Law College Road, Pune",200,50,4.0,421,165,45
8546,461,ID_3541,"Dockyard Road, Mumbai CST Area",150,50,3.8,100,13,45
3397,2368,ID_3541,"Sandhurst Road, Mumbai CST Area",150,50,3.8,100,13,45
4814,2823,ID_3542,"Sector 3, Marathalli",150,50,3.5,32,5,45
3249,2676,ID_3543,"Sandhurst Road, Mumbai CST Area",200,50,3.6,112,36,30
6023,1613,ID_3543,Delhi Cantt.,150,50,3.5,24,12,30
5598,6862,ID_3545,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,4.3,143,110,30
7729,498,ID_3548,"FTI College, Law College Road, Pune",150,50,4.2,542,366,30
8834,3030,ID_3549,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","1,000",50,3.8,32,17,30
7501,10958,ID_355,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,99,3.5,129,65,45
4309,2702,ID_3550,"Sector 14, Noida",150,50,NEW,-,-,30
246,6971,ID_3550,"Sector 1, Noida",150,50,NEW,-,-,30
643,7341,ID_3551,"D-Block, Sector 63, Noida",200,50,NEW,-,-,30
5268,9523,ID_3552,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,4.3,110,46,30
3991,6954,ID_3553,"FTI College, Law College Road, Pune",200,50,3.7,1053,714,45
1858,8406,ID_3554,"Yerawada, Pune, Maharashtra",150,50,-,-,-,45
4705,8623,ID_3554,"Nathan Road, Mangaldas Road, Pune",150,50,-,-,-,45
3640,6548,ID_3555,"Nathan Road, Mangaldas Road, Pune",100,50,3.7,50,30,30
5419,708,ID_3556,"Hyderabad Public School, Begumpet",100,50,3.7,-,-,30
5559,9696,ID_3558,"D-Block, Sector 63, Noida",100,50,3.2,13,7,30
691,3694,ID_356,"Delhi Administration Flats, Timarpur",150,50,3.4,32,8,30
493,9807,ID_3560,"Mico Layout, Stage 2, BTM Layout,Bangalore",50,50,-,-,-,30
3425,4170,ID_3561,"Yerawada, Pune, Maharashtra",450,50,3.7,144,75,45
1293,4188,ID_3562,Delhi Cantt.,400,50,4.0,836,525,45
357,6788,ID_3564,"Rmz Centennial, I Gate, Whitefield",200,50,2.5,176,83,45
2555,631,ID_3565,"Sector 3, Marathalli",300,50,3.7,572,167,45
8583,6465,ID_3565,"Rmz Centennial, I Gate, Whitefield",300,50,3.7,572,167,45
5266,5801,ID_3565,Majestic,350,50,3.8,272,119,30
1547,983,ID_3566,Majestic,400,50,4.4,-,-,30
996,2882,ID_3569,"Delhi High Court, India Gate",350,50,4.0,135,81,45
7878,8905,ID_357,"Delhi Administration Flats, Timarpur",100,50,3.5,63,10,30
5767,9580,ID_3570,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.8,148,40,45
4702,7256,ID_3571,"Delhi High Court, India Gate",200,50,-,-,-,30
4285,6586,ID_3572,"Delhi Administration Flats, Timarpur",200,50,-,-,-,45
2205,4490,ID_3573,Delhi Cantt.,100,50,-,-,-,30
3448,1412,ID_3574,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,4.1,720,405,30
6613,3201,ID_3575,"Sector 1, Noida",300,50,4.3,570,224,65
6071,1476,ID_3575,"Delhi High Court, India Gate",300,50,4.3,570,224,65
4374,6514,ID_3576,"Sector 14, Noida",250,99,3.6,365,125,65
2974,9784,ID_3576,"Sector 1, Noida",250,99,3.6,365,125,65
4280,2365,ID_3577,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,-,-,-,30
5998,1668,ID_3579,"D-Block, Sector 63, Noida",200,50,3.2,6,2,30
2292,6110,ID_358,Delhi University-GTB Nagar,200,50,3.0,4,-,30
861,3223,ID_3584,"Delhi High Court, India Gate",250,50,NEW,-,-,20
5341,10713,ID_3585,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
7622,2005,ID_3586,Mumbai Central,150,50,-,-,-,30
8062,7553,ID_3586,"Dockyard Road, Mumbai CST Area",150,50,-,-,-,30
6199,4189,ID_3586,"Sandhurst Road, Mumbai CST Area",150,50,-,-,-,30
2187,3602,ID_3587,"Delhi Administration Flats, Timarpur",200,50,NEW,-,-,30
2540,2988,ID_3588,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,NEW,-,-,30
3215,6094,ID_3589,Delhi Cantt.,200,50,3.4,8,3,30
7804,5258,ID_359,Mumbai Central,250,50,3.7,87,41,30
937,2791,ID_359,"Dockyard Road, Mumbai CST Area",250,50,3.7,87,41,30
3963,6447,ID_3590,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.3,8,4,45
2951,3967,ID_3591,"FTI College, Law College Road, Pune",200,50,3.3,64,10,30
278,4621,ID_3593,"D-Block, Sector 63, Noida",150,50,2.4,21,9,65
1757,9255,ID_3595,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,99,-,-,-,30
7460,6552,ID_3596,"D-Block, Sector 63, Noida",200,50,4.2,92,70,30
5747,4158,ID_3596,"Sector 1, Noida",200,50,4.3,839,406,45
8147,7880,ID_3597,"Sector 1, Noida",200,50,3.3,14,3,30
8696,10133,ID_3598,"Rmz Centennial, I Gate, Whitefield",250,50,3.1,305,82,45
7108,9837,ID_3599,"Delhi High Court, India Gate",200,50,-,-,-,30
3401,596,ID_36,"Sector 63A,Gurgaon",250,50,2.7,5,3,120
1080,5808,ID_360,"FTI College, Law College Road, Pune",150,50,3.5,84,34,30
888,8811,ID_3600,"Rmz Centennial, I Gate, Whitefield",300,50,3.1,228,86,30
593,1229,ID_3601,"Sector 14, Noida",200,50,2.9,6,2,30
4958,9306,ID_3603,Delhi Cantt.,200,50,3.0,45,9,45
5079,2680,ID_3604,Majestic,100,50,3.7,30,5,30
1712,5166,ID_3605,"Sector 3, Marathalli",150,50,3.7,26,11,65
1652,434,ID_3605,Majestic,150,50,3.4,40,17,30
7924,10023,ID_3605,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.3,12,10,30
3147,9613,ID_3605,"Rmz Centennial, I Gate, Whitefield",150,50,3.4,26,16,65
6959,5489,ID_3607,"Delhi Administration Flats, Timarpur",200,50,3.3,7,-,30
178,6076,ID_3608,"Delhi Administration Flats, Timarpur",250,0,3.4,13,-,30
6639,6551,ID_3609,"Sandhurst Road, Mumbai CST Area",200,50,3.2,4,4,30
1656,5656,ID_3609,"Yerawada, Pune, Maharashtra",200,50,3.1,9,5,30
6936,6294,ID_3609,"MG Road, Pune",200,50,3.1,9,5,30
1976,10823,ID_3609,"Nathan Road, Mangaldas Road, Pune",200,50,3.1,9,5,30
3116,2825,ID_3609,Mumbai Central,200,50,3.6,11,7,30
8135,6650,ID_361,"Babarpur, New Delhi, Delhi",100,50,3.5,43,8,30
7930,7423,ID_3610,Mumbai Central,"1,000",50,4.1,1828,896,65
369,7228,ID_3611,"Dockyard Road, Mumbai CST Area",200,50,4.2,862,352,45
3883,9724,ID_3612,"Delhi High Court, India Gate",250,50,4.4,408,316,65
0,4021,ID_3613,"Sector 14, Noida",100,50,2.9,6,3,30
4807,3824,ID_3613,"Sector 1, Noida",100,50,2.9,6,3,30
2460,1170,ID_3614,Mumbai Central,300,50,4.1,180,110,30
1967,9148,ID_3615,Delhi Cantt.,150,50,3.2,7,3,30
6899,5359,ID_3616,"FTI College, Law College Road, Pune",150,50,3.5,21,14,30
8433,8079,ID_3616,"MG Road, Pune",150,50,3.5,21,14,30
4945,5751,ID_3617,"Sector 1, Noida",200,50,4.5,366,182,65
2850,8937,ID_3617,"Sector 14, Noida",200,50,4.5,366,182,65
5553,5848,ID_3618,Pune University,100,50,2.9,144,70,45
570,10889,ID_3619,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,99,3.5,11,3,30
2050,7515,ID_362,"FTI College, Law College Road, Pune",100,50,-,-,-,30
4073,1040,ID_362,"MG Road, Pune",100,50,-,-,-,30
4357,1246,ID_3620,"Sector 63A,Gurgaon",200,50,-,-,-,30
3802,8956,ID_3621,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.8,134,25,45
3971,6806,ID_3622,"Delhi Administration Flats, Timarpur",400,50,4.3,2261,1317,30
8218,9801,ID_3622,Delhi University-GTB Nagar,400,50,4.3,2261,1317,30
429,3917,ID_3623,Delhi University-GTB Nagar,200,99,4.3,540,178,45
8151,10010,ID_3624,"Delhi Administration Flats, Timarpur",200,50,-,-,-,30
2803,250,ID_3624,Delhi University-GTB Nagar,200,50,-,-,-,30
8021,5605,ID_3625,"Sector 1, Noida",100,50,NEW,-,-,30
123,7874,ID_3626,Majestic,550,50,4.4,913,448,30
2640,5737,ID_3629,"Sandhurst Road, Mumbai CST Area",200,50,3.2,9,8,30
8129,8078,ID_3629,"Delhi Administration Flats, Timarpur",200,50,-,-,-,30
6415,10458,ID_3629,"Rmz Centennial, I Gate, Whitefield",200,50,3.6,184,93,65
4683,815,ID_3629,"Sector 1, Noida",200,0,-,-,-,30
2751,1056,ID_3629,"Hyderabad Public School, Begumpet",200,50,3.6,36,31,30
5605,2447,ID_3629,"Sector 63A,Gurgaon",200,50,-,-,-,30
8474,10561,ID_3629,"Dockyard Road, Mumbai CST Area",200,50,3.2,9,8,30
1670,5395,ID_363,Mumbai Central,150,50,3.7,27,7,45
285,8575,ID_363,"Dockyard Road, Mumbai CST Area",150,50,3.7,27,7,45
8495,3877,ID_363,"Sandhurst Road, Mumbai CST Area",150,50,3.7,27,7,45
6951,4832,ID_3630,"Delhi High Court, India Gate",250,50,-,-,-,30
4491,885,ID_3630,"Sector 1, Noida",250,50,-,-,-,30
7934,2512,ID_3632,"Delhi Administration Flats, Timarpur",200,50,3.5,14,10,30
3056,5172,ID_3632,Delhi University-GTB Nagar,200,50,3.5,14,10,30
6779,876,ID_3633,"Yerawada, Pune, Maharashtra",100,50,3.1,4,1,30
4649,2511,ID_3634,"Rmz Centennial, I Gate, Whitefield",200,50,3.9,30,23,30
8617,10306,ID_3635,"Yerawada, Pune, Maharashtra",600,50,4.3,438,239,30
7371,4804,ID_3637,"Sandhurst Road, Mumbai CST Area",200,50,2.7,16,8,30
8456,1017,ID_3638,Majestic,100,50,3.6,19,7,30
169,1353,ID_3639,Delhi Cantt.,100,50,3.3,9,5,30
6964,3855,ID_364,Delhi University-GTB Nagar,50,50,3.3,7,3,45
2233,10533,ID_3640,Delhi Cantt.,200,50,3.8,65,21,45
3717,3783,ID_3641,Pune University,200,50,2.1,61,40,30
8042,10005,ID_3642,"Sector 3, Marathalli",200,50,2.9,17,11,30
6028,8939,ID_3642,"Rmz Centennial, I Gate, Whitefield",200,50,2.9,17,11,30
5875,4252,ID_3643,"D-Block, Sector 63, Noida",200,50,3.4,12,1,30
545,449,ID_3644,Delhi University-GTB Nagar,200,50,3.3,9,4,30
4667,9163,ID_3644,"Delhi Administration Flats, Timarpur",200,50,3.3,9,4,30
4220,5880,ID_3647,Mumbai Central,400,50,3.7,611,332,45
7380,3990,ID_3648,"Sandhurst Road, Mumbai CST Area",350,50,3.8,234,109,30
5459,3798,ID_3649,Delhi University-GTB Nagar,100,50,3.7,57,20,30
8131,8495,ID_365,"Chatta Bazaar, Malakpet, Hyderabad",100,99,3.8,418,30,45
4759,5273,ID_365,"Noorkhan Bazaar, Malakpet, Hyderabad",100,99,3.8,418,30,45
8284,10491,ID_365,"Musi Nagar, Malakpet, Hyderabad",100,99,3.8,418,30,45
8662,6522,ID_365,"Panjetan Colony, Malakpet, Hyderabad",100,99,3.8,418,30,45
5899,8400,ID_3650,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,NEW,-,-,30
7997,10448,ID_3651,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,99,3.7,33,7,45
4536,10389,ID_3652,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.5,12,5,30
2189,7472,ID_3653,"Sector 3, Marathalli",150,50,3.5,10,3,30
1100,7594,ID_3655,"Sandhurst Road, Mumbai CST Area",100,99,3.9,60,15,45
4142,231,ID_3655,"Dockyard Road, Mumbai CST Area",100,99,3.9,60,15,45
5907,8220,ID_3655,Mumbai Central,100,99,3.9,60,15,45
6932,9703,ID_3656,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.8,37,6,30
386,1119,ID_3658,"Nathan Road, Mangaldas Road, Pune",100,50,3.6,21,15,45
5343,8975,ID_3659,Delhi Cantt.,150,50,3.4,14,14,30
5674,7380,ID_3660,"Delhi Administration Flats, Timarpur",250,50,4.2,943,580,45
6665,1700,ID_3660,Delhi University-GTB Nagar,250,50,4.2,943,580,45
4021,8827,ID_3661,"D-Block, Sector 63, Noida",300,50,3.6,26,15,30
3470,3081,ID_3663,"D-Block, Sector 63, Noida",250,50,3.8,153,90,45
3163,4122,ID_3666,"Sector 63A,Gurgaon",200,50,4.4,98,74,45
1750,1350,ID_3667,"D-Block, Sector 63, Noida",200,50,NEW,-,-,30
77,3671,ID_3667,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,NEW,-,-,30
433,8367,ID_3669,"Sandhurst Road, Mumbai CST Area",500,50,3.6,277,116,65
745,1712,ID_3670,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.7,120,55,20
1627,4736,ID_3671,"Sector 3, Marathalli",300,50,3.5,11,3,30
7105,1550,ID_3672,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,4.3,55,29,30
1459,489,ID_3673,"FTI College, Law College Road, Pune",50,50,3.4,14,-,30
1448,8974,ID_3674,"FTI College, Law College Road, Pune",250,50,3.3,86,45,30
1749,4003,ID_3675,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,3.9,142,21,30
8377,5289,ID_3676,"Nathan Road, Mangaldas Road, Pune",200,50,4.0,-,-,30
4885,10513,ID_3676,"MG Road, Pune",200,50,4.0,-,-,30
3645,540,ID_3678,"Noorkhan Bazaar, Malakpet, Hyderabad",100,50,3.4,18,1,30
3237,4962,ID_3678,"Musi Nagar, Malakpet, Hyderabad",100,50,3.4,18,1,30
3697,3948,ID_3678,"Jaya Nagar, Saidabad, Hyderabad",100,50,3.4,18,1,30
3176,8112,ID_368,"Delhi Administration Flats, Timarpur",200,50,-,-,-,30
7455,6301,ID_368,Delhi University-GTB Nagar,200,50,-,-,-,30
3390,1992,ID_3680,"Chatta Bazaar, Malakpet, Hyderabad",150,99,3.7,248,47,45
5874,9346,ID_3680,"Noorkhan Bazaar, Malakpet, Hyderabad",150,99,3.7,248,47,45
4965,6414,ID_3681,"FTI College, Law College Road, Pune",100,50,3.9,78,30,30
4557,4830,ID_3682,"Sandhurst Road, Mumbai CST Area",100,50,3.9,73,46,30
2915,201,ID_3683,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.0,4,1,30
504,8878,ID_3684,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,3.7,67,9,30
7758,10818,ID_3685,"Sector 14, Noida",150,50,3.4,18,2,30
641,10344,ID_3685,"Sector 1, Noida",150,50,3.4,18,2,30
2813,6913,ID_3687,Delhi Cantt.,100,50,3.6,59,16,30
6581,5425,ID_369,"Delhi High Court, India Gate",100,50,4.2,1068,220,45
1721,7395,ID_3691,"Moulali, Kolkata",100,50,3.3,27,5,30
4332,1541,ID_3691,"Raja Bazar, Kolkata",100,50,3.3,27,5,30
5281,827,ID_3692,"Babarpur, New Delhi, Delhi",100,50,3.2,7,3,30
2922,5706,ID_3695,"Babarpur, New Delhi, Delhi",150,50,3.6,194,35,30
5395,2923,ID_3696,"Babarpur, New Delhi, Delhi",50,50,NEW,-,-,30
8840,6781,ID_3697,"Noorkhan Bazaar, Malakpet, Hyderabad",200,50,3.6,47,11,30
527,6056,ID_3697,"Musi Nagar, Malakpet, Hyderabad",200,50,3.6,47,11,30
5309,2206,ID_3698,Majestic,100,0,-,-,-,30
6802,9487,ID_3699,"Raja Bazar, Kolkata",100,50,3.4,243,73,65
268,1639,ID_3699,"Tiretti, Kolkata",100,50,3.4,243,73,65
1862,5194,ID_37,"Tejas Nagar Colony, Wadala West, Mumbai",200,50,-,-,-,45
473,6575,ID_3701,"Sector 14, Noida",100,50,3.4,26,2,30
1431,8082,ID_3701,"Sector 1, Noida",100,50,3.4,26,2,30
1154,3204,ID_3702,"Babarpur, New Delhi, Delhi",100,50,3.4,20,4,45
8065,3383,ID_3705,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,4.0,227,104,30
3777,9022,ID_3706,"Nathan Road, Mangaldas Road, Pune",50,50,3.9,263,112,45
917,10227,ID_3707,"Gora Bazar, Rajbari, North Dumdum, Kolkata",150,50,3.7,116,39,45
8527,6250,ID_3708,Pune University,100,50,3.6,411,223,45
7612,2536,ID_3709,"Panjetan Colony, Malakpet, Hyderabad",150,0,3.7,49,12,30
7756,10145,ID_3709,"Musi Nagar, Malakpet, Hyderabad",150,0,3.7,49,12,30
74,6523,ID_371,"FTI College, Law College Road, Pune",200,50,3.2,14,2,30
2729,9674,ID_3710,"Chandni Chowk, Kolkata",400,50,4.1,925,582,30
4377,4177,ID_3710,"Moulali, Kolkata",400,50,4.1,925,582,30
7045,9340,ID_3711,"Nathan Road, Mangaldas Road, Pune",150,50,3.1,10,3,30
5194,7324,ID_3711,"MG Road, Pune",150,50,3.1,10,3,30
6276,105,ID_3712,"Dockyard Road, Mumbai CST Area",100,50,3.5,18,8,30
1281,2538,ID_3712,"Sandhurst Road, Mumbai CST Area",100,50,3.5,18,8,30
6354,3976,ID_3713,Mumbai Central,400,50,4.1,2996,1501,65
1155,3304,ID_3714,"Delhi Administration Flats, Timarpur",150,50,3.4,12,6,30
2499,9515,ID_3715,"FTI College, Law College Road, Pune",150,50,3.6,62,7,30
2318,6893,ID_3716,Pune University,100,50,3.9,117,16,30
4283,3124,ID_3716,"FTI College, Law College Road, Pune",100,50,3.9,117,16,30
7764,1445,ID_3717,"Tiretti, Kolkata",250,50,2.9,50,14,65
